Time  1 - default sample rate [s]	Rods pressure [bar]	Shell_0_L [µm/m]	Shell_0_Z [µm/m]	Shell_1_L [µm/m]	Shell_1_Z [µm/m]	Shell_2_L [µm/m]	Shell_2_Z [µm/m]	Shell_3_L [µm/m]	Shell_3_Z [µm/m]	Shell_4_Z [µm/m]	Shell_5_L [µm/m]	Shell_5_Z [µm/m]	Coil_1_Th2_up [µm/m]	Coil_1_Th3_up [µm/m]	Rod_1_TC [µm/m]	Rod_2_TC [µm/m]
63.60	15.82	-525.81	1036.0	-476.59	1152.8	-269.02	-414.23	-399.67	970.89	1162.4	-176.31	-12.22	43.14	-180.84	91.94	126.77	
63.70	15.83	-525.80	1036.1	-476.55	1152.8	-269.00	-414.24	-399.68	970.93	1162.4	-176.33	-12.20	43.18	-180.86	91.93	126.77	
63.80	15.82	-525.80	1036.1	-476.53	1152.8	-268.97	-414.30	-399.65	970.94	1162.3	-176.31	-12.12	43.24	-180.81	91.92	126.77	
63.90	15.82	-525.74	1036.1	-476.52	1152.8	-268.92	-414.31	-399.58	970.95	1162.3	-176.28	-12.11	43.24	-180.75	91.92	126.78	
64.00	15.81	-525.68	1036.1	-476.54	1152.9	-268.86	-414.28	-399.55	970.99	1162.4	-176.24	-12.05	43.20	-180.75	91.91	126.80	
64.10	15.80	-525.72	1036.1	-476.57	1152.9	-268.90	-414.34	-399.59	970.98	1162.4	-176.18	-12.01	43.24	-180.80	91.91	126.82	
64.20	15.77	-525.75	1036.1	-476.58	1152.9	-268.99	-414.33	-399.67	970.92	1162.5	-176.20	-11.98	43.28	-180.83	91.91	126.86	
64.30	15.75	-525.69	1036.2	-476.52	1152.8	-268.99	-414.22	-399.63	970.89	1162.5	-176.30	-12.02	43.28	-180.80	91.91	126.94	
64.40	15.69	-525.64	1036.2	-476.49	1152.8	-268.90	-414.20	-399.61	970.94	1162.4	-176.30	-12.05	43.30	-180.75	91.88	127.02	
64.50	15.59	-525.67	1036.2	-476.47	1152.8	-268.84	-414.23	-399.64	970.95	1162.4	-176.25	-12.05	43.29	-180.72	91.90	127.10	
64.60	15.47	-525.78	1036.1	-476.47	1152.8	-268.86	-414.34	-399.64	970.95	1162.4	-176.24	-12.05	43.22	-180.74	92.42	127.55	
64.70	15.35	-525.80	1036.1	-476.51	1152.8	-268.93	-414.35	-399.66	970.94	1162.4	-176.31	-12.07	43.20	-180.78	93.93	128.84	
64.80	15.32	-525.77	1036.1	-476.47	1152.8	-269.01	-414.34	-399.69	970.92	1162.4	-176.43	-12.06	43.19	-180.81	96.32	130.93	
64.90	15.31	-525.76	1036.1	-476.47	1152.8	-269.05	-414.31	-399.71	970.93	1162.4	-176.47	-12.03	43.18	-180.78	98.38	132.72	
65.00	15.31	-525.76	1036.2	-476.51	1152.9	-269.03	-414.22	-399.74	970.98	1162.5	-176.43	-12.01	43.17	-180.71	100.93	134.94	
65.10	15.26	-525.77	1036.2	-476.50	1152.9	-269.02	-414.20	-399.76	971.02	1162.5	-176.43	-12.01	43.10	-180.70	103.07	136.80	
65.20	15.21	-525.77	1036.1	-476.47	1152.8	-269.04	-414.24	-399.77	971.03	1162.5	-176.46	-11.99	43.02	-180.72	104.91	138.40	
65.30	15.16	-525.78	1036.1	-476.48	1152.8	-269.07	-414.27	-399.78	971.04	1162.5	-176.47	-11.96	43.00	-180.73	106.26	139.56	
65.40	15.08	-525.83	1036.2	-476.48	1152.8	-269.10	-414.21	-399.79	971.04	1162.5	-176.43	-11.98	42.98	-180.72	107.94	140.98	
65.50	15.06	-525.87	1036.2	-476.47	1152.7	-269.14	-414.21	-399.78	970.97	1162.5	-176.37	-12.04	42.93	-180.68	109.41	142.27	
65.60	15.06	-525.88	1036.2	-476.43	1152.8	-269.12	-414.22	-399.76	970.93	1162.5	-176.36	-12.06	42.91	-180.62	111.06	143.73	
65.70	15.04	-525.84	1036.2	-476.40	1152.8	-269.10	-414.20	-399.75	970.98	1162.5	-176.41	-12.05	42.92	-180.58	112.15	144.68	
65.80	15.04	-525.79	1036.1	-476.43	1152.8	-269.10	-414.23	-399.78	971.06	1162.6	-176.47	-12.03	42.96	-180.49	112.97	145.43	
65.90	15.03	-525.84	1036.1	-476.53	1152.9	-269.12	-414.25	-399.78	971.09	1162.6	-176.45	-11.97	43.00	-180.45	113.29	145.71	
66.00	15.02	-525.87	1036.1	-476.56	1152.9	-269.10	-414.22	-399.73	971.08	1162.6	-176.43	-11.97	42.99	-180.49	113.39	145.80	
66.10	15.00	-525.90	1036.2	-476.54	1152.8	-269.10	-414.24	-399.71	971.09	1162.6	-176.44	-12.00	42.97	-180.56	113.40	145.78	
66.20	15.00	-525.92	1036.2	-476.53	1152.8	-269.16	-414.26	-399.79	971.12	1162.5	-176.41	-12.00	42.97	-180.63	113.37	145.58	
66.30	15.03	-525.92	1036.1	-476.56	1152.8	-269.26	-414.24	-399.86	971.09	1162.4	-176.42	-12.00	42.99	-180.63	113.30	145.18	
66.40	14.99	-525.93	1036.1	-476.60	1152.8	-269.22	-414.23	-399.84	971.07	1162.4	-176.45	-11.98	42.99	-180.58	113.21	144.75	
66.50	14.97	-525.94	1036.1	-476.59	1152.8	-269.17	-414.26	-399.78	971.04	1162.5	-176.48	-11.99	43.00	-180.55	113.17	144.50	
66.60	14.95	-525.87	1036.1	-476.56	1152.9	-269.09	-414.23	-399.70	971.05	1162.5	-176.47	-12.00	43.04	-180.51	113.09	144.29	
66.70	14.87	-525.85	1036.1	-476.57	1152.8	-269.07	-414.17	-399.71	971.11	1162.5	-176.46	-12.03	43.10	-180.48	113.01	144.18	
66.80	14.79	-525.84	1036.1	-476.57	1152.8	-269.07	-414.13	-399.73	971.15	1162.5	-176.51	-12.08	43.09	-180.49	112.96	144.11	
66.90	14.76	-525.85	1036.2	-476.55	1152.8	-269.10	-414.09	-399.73	971.13	1162.5	-176.52	-12.11	43.04	-180.54	112.94	144.07	
67.00	14.76	-525.92	1036.1	-476.58	1152.8	-269.13	-414.09	-399.69	971.01	1162.5	-176.57	-12.19	42.94	-180.63	112.92	144.02	
67.10	14.74	-525.93	1036.1	-476.61	1152.8	-269.16	-414.14	-399.65	970.94	1162.6	-176.56	-12.19	42.94	-180.72	112.89	144.02	
67.20	14.72	-525.89	1036.1	-476.54	1152.8	-269.18	-414.18	-399.69	970.97	1162.5	-176.48	-12.13	43.00	-180.69	112.84	144.01	
67.30	14.71	-525.86	1036.1	-476.49	1152.8	-269.16	-414.19	-399.72	971.00	1162.5	-176.45	-12.08	43.03	-180.65	112.81	143.99	
67.40	14.70	-525.86	1036.1	-476.50	1152.8	-269.11	-414.17	-399.71	971.04	1162.4	-176.46	-11.99	43.04	-180.62	112.77	143.95	
67.50	14.69	-525.90	1036.2	-476.54	1152.8	-269.11	-414.17	-399.68	971.07	1162.5	-176.44	-11.92	43.07	-180.55	112.75	143.91	
67.60	14.68	-525.90	1036.3	-476.58	1152.8	-269.12	-414.17	-399.68	971.04	1162.5	-176.42	-11.95	43.09	-180.50	112.73	143.89	
67.70	14.67	-525.89	1036.3	-476.64	1152.8	-269.11	-414.11	-399.74	970.97	1162.6	-176.43	-12.01	43.09	-180.51	112.72	143.89	
67.80	14.67	-525.90	1036.2	-476.63	1152.8	-269.14	-414.05	-399.80	970.90	1162.6	-176.44	-12.06	43.07	-180.55	112.72	143.91	
67.90	14.67	-525.93	1036.2	-476.55	1152.8	-269.12	-414.01	-399.76	970.93	1162.5	-176.44	-12.05	43.05	-180.58	112.72	143.89	
68.00	14.68	-525.99	1036.2	-476.54	1152.9	-269.07	-414.00	-399.72	970.97	1162.6	-176.42	-11.98	43.02	-180.55	112.68	143.86	
68.10	14.69	-526.02	1036.2	-476.57	1152.9	-269.04	-413.98	-399.72	971.00	1162.6	-176.40	-11.98	43.02	-180.52	112.66	143.84	
68.20	14.70	-525.97	1036.2	-476.63	1152.8	-269.00	-413.97	-399.70	971.03	1162.5	-176.39	-12.03	43.03	-180.47	112.66	143.83	
68.30	14.70	-525.89	1036.2	-476.68	1152.8	-269.09	-414.04	-399.69	971.06	1162.5	-176.36	-12.04	43.07	-180.44	112.66	143.83	
68.40	14.68	-525.85	1036.2	-476.65	1152.8	-269.19	-414.12	-399.73	971.09	1162.4	-176.41	-12.00	43.11	-180.46	112.66	143.84	
68.50	14.66	-525.88	1036.2	-476.62	1152.8	-269.14	-414.14	-399.76	971.08	1162.4	-176.48	-11.97	43.10	-180.51	112.66	143.83	
68.60	14.63	-525.92	1036.1	-476.62	1152.7	-269.08	-414.15	-399.76	971.05	1162.4	-176.51	-11.95	43.05	-180.55	112.64	143.79	
68.70	14.62	-525.89	1036.1	-476.58	1152.8	-269.04	-414.12	-399.74	971.04	1162.4	-176.51	-11.98	42.98	-180.55	112.61	143.76	
68.80	14.58	-525.84	1036.1	-476.56	1152.9	-269.02	-414.07	-399.75	971.08	1162.4	-176.53	-12.04	42.96	-180.55	112.61	143.75	
68.90	13.96	-525.83	1036.1	-476.57	1152.8	-269.03	-414.07	-399.75	971.13	1162.4	-176.50	-12.06	42.99	-180.55	112.62	143.74	
69.00	12.77	-525.84	1036.1	-476.56	1152.8	-269.05	-414.11	-399.76	971.14	1162.5	-176.44	-12.09	43.03	-180.57	112.59	143.74	
69.10	11.55	-525.86	1036.2	-476.55	1152.9	-269.02	-414.06	-399.76	971.08	1162.5	-176.39	-12.08	43.06	-180.59	112.45	143.63	
69.20	10.02	-525.88	1036.2	-476.53	1152.9	-269.01	-413.99	-399.77	971.05	1162.5	-176.36	-12.05	43.04	-180.60	112.15	143.36	
69.30	8.497	-525.86	1036.2	-476.49	1152.9	-269.02	-414.00	-399.78	971.08	1162.5	-176.40	-12.04	43.02	-180.61	111.86	143.10	
69.40	7.340	-525.89	1036.1	-476.45	1152.9	-269.09	-414.06	-399.76	971.09	1162.4	-176.46	-12.03	42.96	-180.60	111.38	142.66	
69.50	6.440	-525.96	1036.1	-476.47	1152.9	-269.13	-414.13	-399.78	971.03	1162.4	-176.46	-12.00	42.90	-180.57	110.83	142.17	
69.60	5.511	-526.00	1036.1	-476.58	1152.8	-269.11	-414.21	-399.83	970.96	1162.4	-176.45	-12.00	42.91	-180.59	110.36	141.75	
69.70	4.713	-526.04	1036.1	-476.66	1152.8	-269.09	-414.23	-399.85	970.95	1162.3	-176.48	-12.07	42.94	-180.61	110.09	141.51	
69.80	4.028	-526.05	1036.1	-476.65	1152.8	-269.07	-414.18	-399.84	970.99	1162.4	-176.53	-12.19	42.90	-180.61	109.78	141.22	
69.90	3.313	-525.96	1036.2	-476.56	1152.8	-269.05	-414.15	-399.78	971.00	1162.4	-176.53	-12.21	42.84	-180.62	109.48	140.95	
70.00	2.642	-525.90	1036.1	-476.53	1152.8	-268.99	-414.14	-399.75	971.00	1162.4	-176.55	-12.09	42.88	-180.65	109.18	140.70	
70.10	2.103	-525.88	1036.1	-476.53	1152.8	-268.95	-414.09	-399.75	970.99	1162.4	-176.56	-12.04	42.95	-180.69	108.98	140.52	
70.20	1.659	-525.85	1036.2	-476.51	1152.8	-268.97	-414.05	-399.71	971.00	1162.4	-176.51	-12.00	43.05	-180.71	108.76	140.32	
70.30	1.330	-525.82	1036.1	-476.55	1152.7	-269.02	-414.10	-399.69	971.03	1162.5	-176.48	-11.99	43.07	-180.73	108.53	140.18	
70.40	1.177	-525.80	1036.1	-476.57	1152.7	-269.04	-414.12	-399.66	971.02	1162.5	-176.47	-12.03	43.05	-180.73	108.33	140.02	
70.50	1.134	-525.85	1036.1	-476.59	1152.7	-269.03	-414.13	-399.67	971.00	1162.5	-176.43	-12.05	43.05	-180.71	108.20	139.91	
70.60	1.137	-525.91	1036.1	-476.63	1152.7	-269.02	-414.19	-399.72	971.00	1162.4	-176.41	-12.05	43.03	-180.72	108.05	139.80	
70.70	1.143	-525.89	1036.1	-476.65	1152.7	-269.01	-414.24	-399.74	971.03	1162.4	-176.42	-12.05	43.04	-180.68	107.93	139.68	
70.80	1.146	-525.89	1036.1	-476.64	1152.7	-268.97	-414.22	-399.72	971.05	1162.4	-176.46	-12.09	43.04	-180.68	107.84	139.59	
70.90	1.146	-525.90	1036.1	-476.62	1152.7	-268.99	-414.17	-399.71	971.01	1162.3	-176.51	-12.12	43.04	-180.68	107.77	139.57	
71.00	1.145	-525.88	1036.0	-476.64	1152.8	-269.03	-414.16	-399.72	970.96	1162.3	-176.49	-12.13	43.06	-180.61	107.68	139.56	
71.10	1.145	-525.84	1036.0	-476.64	1152.8	-269.10	-414.12	-399.71	970.97	1162.4	-176.46	-12.18	43.08	-180.59	107.63	139.52	
71.20	1.146	-525.86	1036.1	-476.62	1152.8	-269.15	-414.09	-399.68	970.98	1162.4	-176.50	-12.21	43.06	-180.65	107.61	139.46	
71.30	1.145	-525.91	1036.2	-476.64	1152.8	-269.12	-414.09	-399.66	971.00	1162.4	-176.52	-12.18	43.05	-180.66	107.59	139.43	
71.40	1.145	-525.92	1036.2	-476.66	1152.8	-269.05	-414.14	-399.65	971.05	1162.4	-176.45	-12.13	43.06	-180.57	107.54	139.43	
71.50	1.144	-525.89	1036.1	-476.69	1152.7	-269.03	-414.18	-399.69	971.04	1162.4	-176.38	-12.08	43.06	-180.49	107.50	139.46	
71.60	1.145	-525.87	1036.1	-476.71	1152.7	-269.02	-414.19	-399.74	970.96	1162.4	-176.38	-12.11	43.04	-180.50	107.50	139.47	
71.70	1.145	-525.87	1036.1	-476.70	1152.8	-269.05	-414.17	-399.76	970.91	1162.4	-176.40	-12.14	43.08	-180.52	107.50	139.44	
71.80	1.145	-525.88	1036.2	-476.59	1152.9	-269.08	-414.10	-399.76	970.94	1162.4	-176.41	-12.15	43.13	-180.53	107.50	139.41	
71.90	1.146	-525.88	1036.2	-476.55	1152.9	-269.03	-414.09	-399.75	970.97	1162.4	-176.44	-12.20	43.12	-180.49	107.49	139.42	
72.00	1.146	-525.91	1036.2	-476.57	1152.8	-269.03	-414.10	-399.74	970.98	1162.5	-176.48	-12.23	43.10	-180.48	107.45	139.44	
72.10	1.145	-525.90	1036.2	-476.57	1152.8	-269.06	-414.09	-399.71	971.02	1162.5	-176.49	-12.22	43.08	-180.53	107.42	139.45	
72.20	1.145	-525.84	1036.2	-476.57	1152.8	-269.05	-414.07	-399.66	971.09	1162.5	-176.42	-12.20	43.06	-180.63	107.42	139.43	
72.30	1.145	-525.83	1036.2	-476.56	1152.7	-269.00	-414.06	-399.64	971.06	1162.5	-176.31	-12.18	43.03	-180.68	107.42	139.41	
72.40	1.145	-525.93	1036.2	-476.57	1152.7	-268.99	-414.12	-399.73	971.00	1162.5	-176.39	-12.11	43.10	-180.65	107.43	139.41	
72.50	1.145	-526.00	1036.2	-476.58	1152.8	-269.04	-414.17	-399.79	970.95	1162.5	-176.51	-12.08	43.14	-180.62	107.43	139.43	
72.60	1.144	-525.95	1036.1	-476.61	1152.8	-269.10	-414.15	-399.80	970.90	1162.4	-176.52	-12.12	43.16	-180.59	107.42	139.48	
72.70	1.144	-525.86	1036.1	-476.61	1152.8	-269.07	-414.06	-399.76	970.95	1162.5	-176.45	-12.10	43.12	-180.55	107.42	139.50	
72.80	1.146	-525.84	1036.1	-476.58	1152.9	-269.05	-414.01	-399.71	970.99	1162.5	-176.44	-12.00	43.10	-180.55	107.42	139.47	
72.90	1.146	-525.84	1036.1	-476.54	1152.9	-269.03	-414.03	-399.70	971.02	1162.5	-176.44	-11.94	43.10	-180.56	107.41	139.44	
73.00	1.145	-525.87	1036.1	-476.53	1152.8	-269.01	-414.10	-399.70	971.00	1162.5	-176.40	-11.90	43.05	-180.54	107.39	139.41	
73.10	1.149	-525.88	1036.2	-476.53	1152.8	-269.00	-414.20	-399.71	971.00	1162.5	-176.37	-11.94	42.95	-180.57	107.38	139.41	
73.20	1.150	-525.90	1036.1	-476.52	1152.7	-269.03	-414.26	-399.74	971.01	1162.5	-176.38	-11.94	42.91	-180.60	107.38	139.42	
73.30	1.150	-525.93	1036.1	-476.54	1152.7	-269.06	-414.26	-399.76	971.01	1162.5	-176.43	-11.95	42.94	-180.60	107.39	139.43	
73.40	1.149	-525.95	1036.1	-476.58	1152.7	-269.09	-414.24	-399.75	970.97	1162.5	-176.48	-12.04	42.97	-180.62	107.39	139.43	
73.50	1.149	-525.90	1036.1	-476.55	1152.7	-269.09	-414.20	-399.67	970.99	1162.5	-176.54	-12.10	42.98	-180.70	107.38	139.41	
73.60	1.149	-525.85	1036.1	-476.51	1152.8	-269.04	-414.15	-399.61	971.02	1162.6	-176.56	-12.09	43.00	-180.72	107.39	139.41	
73.70	1.149	-525.87	1036.1	-476.46	1152.7	-268.97	-414.13	-399.60	970.99	1162.6	-176.54	-12.08	43.03	-180.72	107.38	139.43	
73.80	1.148	-525.92	1036.1	-476.44	1152.8	-268.89	-414.12	-399.57	970.96	1162.6	-176.58	-12.08	43.02	-180.75	107.35	139.46	
73.90	1.150	-525.93	1036.2	-476.51	1152.8	-268.98	-414.10	-399.60	970.91	1162.6	-176.56	-12.08	43.00	-180.76	107.36	139.45	
74.00	1.149	-525.87	1036.2	-476.58	1152.8	-269.09	-414.09	-399.66	970.87	1162.6	-176.51	-12.11	43.03	-180.73	107.37	139.45	
74.10	1.149	-525.83	1036.1	-476.59	1152.8	-269.09	-414.07	-399.70	970.88	1162.6	-176.52	-12.18	43.05	-180.72	107.36	139.45	
74.20	1.149	-525.82	1036.0	-476.56	1152.8	-269.08	-414.02	-399.75	970.90	1162.6	-176.47	-12.20	43.07	-180.69	107.35	139.42	
74.30	1.150	-525.81	1036.1	-476.50	1152.9	-269.06	-413.99	-399.76	970.95	1162.6	-176.37	-12.14	43.08	-180.65	107.34	139.40	
74.40	1.149	-525.79	1036.1	-476.47	1152.9	-269.02	-413.98	-399.74	971.06	1162.5	-176.37	-12.08	43.08	-180.67	107.36	139.40	
74.50	1.149	-525.82	1036.1	-476.47	1152.8	-268.98	-413.97	-399.72	971.09	1162.5	-176.43	-12.08	43.11	-180.70	107.35	139.39	
74.60	1.147	-525.89	1036.0	-476.52	1152.8	-268.93	-414.00	-399.66	971.07	1162.5	-176.48	-12.06	43.15	-180.73	107.33	139.39	
74.70	1.148	-525.92	1036.0	-476.55	1152.8	-268.88	-414.00	-399.65	971.06	1162.5	-176.44	-12.05	43.16	-180.68	107.31	139.39	
74.80	1.149	-525.94	1036.1	-476.58	1152.7	-268.91	-414.05	-399.62	971.07	1162.5	-176.42	-12.11	43.15	-180.63	107.30	139.40	
74.90	1.149	-525.97	1036.1	-476.63	1152.7	-268.97	-414.14	-399.66	971.04	1162.4	-176.44	-12.14	43.15	-180.62	107.28	139.39	
75.00	1.149	-525.95	1036.1	-476.63	1152.8	-268.96	-414.17	-399.71	971.00	1162.5	-176.47	-12.14	43.15	-180.62	107.29	139.39	
75.10	1.150	-525.86	1036.2	-476.54	1152.8	-268.90	-414.15	-399.69	971.00	1162.6	-176.46	-12.09	43.09	-180.62	107.31	139.40	
75.20	1.149	-525.88	1036.2	-476.49	1152.8	-268.94	-414.16	-399.73	971.01	1162.6	-176.45	-12.08	43.07	-180.59	107.30	139.41	
75.30	1.148	-525.93	1036.1	-476.50	1152.8	-269.01	-414.16	-399.77	971.05	1162.6	-176.44	-12.08	43.09	-180.57	107.29	139.39	
75.40	1.150	-525.92	1036.1	-476.48	1152.8	-269.01	-414.14	-399.74	971.03	1162.5	-176.40	-12.03	43.14	-180.57	107.27	139.38	
75.50	1.149	-525.86	1036.1	-476.53	1152.8	-268.99	-414.14	-399.73	971.01	1162.5	-176.36	-12.00	43.17	-180.62	107.26	139.38	
75.60	1.149	-525.87	1036.0	-476.60	1152.8	-269.03	-414.15	-399.72	971.00	1162.5	-176.36	-12.04	43.15	-180.68	107.26	139.38	
75.70	1.148	-525.88	1036.0	-476.58	1152.8	-269.02	-414.17	-399.74	971.01	1162.5	-176.39	-12.08	43.10	-180.73	107.26	139.39	
75.80	1.148	-525.87	1036.1	-476.50	1152.9	-268.91	-414.19	-399.72	971.10	1162.5	-176.44	-12.14	43.05	-180.76	107.26	139.38	
75.90	1.149	-525.84	1036.1	-476.54	1152.9	-268.83	-414.17	-399.65	971.12	1162.6	-176.47	-12.20	43.05	-180.80	107.27	139.37	
76.00	1.148	-525.82	1036.1	-476.61	1152.8	-268.82	-414.10	-399.62	971.12	1162.6	-176.50	-12.15	43.01	-180.74	107.27	139.35	
76.10	1.148	-525.83	1036.1	-476.64	1152.8	-268.85	-414.07	-399.63	971.09	1162.5	-176.51	-12.11	42.98	-180.69	107.26	139.34	
76.20	1.149	-525.88	1036.0	-476.65	1152.8	-268.93	-414.08	-399.67	971.00	1162.5	-176.48	-12.15	42.96	-180.72	107.24	139.34	
76.30	1.149	-525.90	1036.0	-476.67	1152.8	-268.95	-414.14	-399.72	970.95	1162.5	-176.48	-12.13	42.93	-180.78	107.24	139.36	
76.40	1.149	-525.94	1036.0	-476.69	1152.7	-268.98	-414.14	-399.73	970.97	1162.5	-176.52	-12.10	42.96	-180.78	107.26	139.34	
76.50	1.149	-525.95	1036.0	-476.70	1152.6	-268.99	-414.12	-399.69	971.01	1162.6	-176.54	-12.14	42.98	-180.82	107.26	139.33	
76.60	1.149	-525.95	1036.0	-476.66	1152.7	-268.96	-414.09	-399.67	971.04	1162.5	-176.49	-12.16	43.00	-180.83	107.25	139.34	
76.70	1.149	-525.93	1036.0	-476.58	1152.7	-268.96	-414.11	-399.68	971.05	1162.5	-176.47	-12.17	43.01	-180.77	107.26	139.36	
76.80	1.149	-525.94	1036.0	-476.56	1152.7	-268.96	-414.14	-399.66	971.03	1162.4	-176.48	-12.21	43.04	-180.69	107.25	139.36	
76.90	1.147	-525.94	1036.0	-476.57	1152.7	-268.96	-414.10	-399.64	971.05	1162.5	-176.48	-12.21	43.08	-180.61	107.24	139.35	
77.00	1.148	-525.86	1036.1	-476.61	1152.8	-268.95	-414.01	-399.65	971.14	1162.5	-176.47	-12.17	43.10	-180.55	107.25	139.33	
77.10	1.149	-525.86	1036.1	-476.63	1152.9	-268.91	-414.04	-399.73	971.16	1162.5	-176.47	-12.13	43.11	-180.53	107.26	139.32	
77.20	1.148	-525.90	1036.1	-476.60	1152.8	-268.92	-414.13	-399.77	971.13	1162.5	-176.55	-12.16	43.10	-180.53	107.25	139.33	
77.30	1.149	-525.92	1036.1	-476.61	1152.8	-268.94	-414.12	-399.72	971.11	1162.5	-176.60	-12.17	43.06	-180.60	107.25	139.34	
77.40	1.150	-525.88	1036.2	-476.64	1152.7	-268.94	-414.13	-399.71	971.12	1162.6	-176.57	-12.13	43.01	-180.69	107.23	139.35	
77.50	1.149	-525.89	1036.1	-476.65	1152.7	-268.96	-414.18	-399.80	971.09	1162.5	-176.49	-12.15	43.01	-180.70	107.22	139.34	
77.60	1.149	-525.93	1036.2	-476.67	1152.8	-268.94	-414.12	-399.78	971.04	1162.5	-176.45	-12.16	43.04	-180.69	107.21	139.34	
77.70	1.148	-525.92	1036.1	-476.63	1152.8	-268.89	-414.03	-399.71	971.04	1162.5	-176.46	-12.11	43.04	-180.67	107.18	139.36	
77.80	1.148	-525.87	1036.1	-476.58	1152.8	-268.83	-413.95	-399.63	971.06	1162.5	-176.54	-12.07	43.02	-180.63	107.16	139.35	
77.90	1.149	-525.83	1036.1	-476.56	1152.7	-268.88	-413.96	-399.61	971.04	1162.6	-176.53	-12.06	43.01	-180.65	107.17	139.33	
78.00	1.148	-525.90	1036.1	-476.62	1152.7	-268.96	-414.02	-399.61	971.03	1162.6	-176.47	-12.08	43.03	-180.67	107.16	139.33	
78.10	1.147	-525.91	1036.1	-476.64	1152.8	-268.96	-414.06	-399.57	971.04	1162.7	-176.46	-12.08	43.01	-180.70	107.15	139.33	
78.20	1.150	-525.86	1036.0	-476.62	1152.8	-268.95	-414.09	-399.54	971.04	1162.6	-176.51	-12.09	42.98	-180.74	107.16	139.32	
78.30	1.149	-525.86	1036.0	-476.60	1152.8	-268.94	-414.03	-399.64	971.05	1162.5	-176.57	-12.10	42.97	-180.74	107.19	139.30	
78.40	1.149	-525.92	1036.0	-476.57	1152.8	-268.94	-413.96	-399.66	971.04	1162.5	-176.54	-12.10	42.98	-180.76	107.23	139.31	
78.50	1.150	-525.95	1036.1	-476.56	1152.8	-268.95	-413.94	-399.64	971.05	1162.5	-176.54	-12.09	42.99	-180.75	107.23	139.33	
78.60	1.150	-525.96	1036.1	-476.62	1152.8	-268.94	-413.99	-399.70	971.09	1162.5	-176.53	-12.08	43.03	-180.68	107.20	139.30	
78.70	1.149	-525.98	1036.1	-476.65	1152.9	-268.92	-414.05	-399.76	971.11	1162.6	-176.53	-12.10	43.10	-180.58	107.16	139.28	
78.80	1.149	-525.95	1036.1	-476.56	1152.9	-268.90	-414.03	-399.73	971.13	1162.6	-176.50	-12.10	43.15	-180.54	107.13	139.30	
78.90	1.148	-525.92	1036.1	-476.57	1152.8	-268.89	-414.02	-399.69	971.12	1162.6	-176.47	-12.08	43.16	-180.54	107.12	139.32	
79.00	1.149	-525.90	1036.1	-476.65	1152.7	-268.92	-414.02	-399.64	971.09	1162.5	-176.41	-12.06	43.15	-180.51	107.11	139.34	
79.10	1.149	-525.81	1036.2	-476.61	1152.8	-268.90	-413.99	-399.61	971.11	1162.5	-176.40	-12.07	43.15	-180.53	107.13	139.33	
79.20	1.148	-525.82	1036.1	-476.53	1152.8	-268.90	-414.01	-399.70	971.09	1162.5	-176.42	-12.10	43.12	-180.61	107.17	139.31	
79.30	1.149	-525.91	1036.1	-476.54	1152.8	-268.95	-414.05	-399.75	971.02	1162.5	-176.43	-12.12	43.09	-180.64	107.18	139.30	
79.40	1.150	-525.91	1036.0	-476.63	1152.7	-268.95	-414.05	-399.71	971.01	1162.5	-176.45	-12.12	43.08	-180.62	107.17	139.28	
79.50	1.149	-525.87	1036.0	-476.66	1152.7	-268.90	-414.01	-399.59	971.07	1162.6	-176.54	-12.11	43.11	-180.59	107.17	139.27	
79.60	1.149	-525.89	1036.1	-476.63	1152.8	-268.87	-414.02	-399.59	971.08	1162.6	-176.56	-12.14	43.11	-180.61	107.15	139.27	
79.70	1.150	-525.92	1036.0	-476.61	1152.8	-268.91	-414.03	-399.65	971.07	1162.6	-176.51	-12.17	43.06	-180.65	107.16	139.28	
79.80	1.149	-525.99	1036.0	-476.59	1152.7	-269.00	-414.04	-399.68	971.06	1162.6	-176.48	-12.20	43.04	-180.64	107.15	139.28	
79.90	1.149	-526.02	1036.0	-476.67	1152.6	-269.06	-414.08	-399.71	971.12	1162.6	-176.51	-12.24	43.05	-180.65	107.12	139.27	
80.00	1.148	-525.95	1036.0	-476.71	1152.6	-269.02	-414.01	-399.70	971.18	1162.5	-176.50	-12.23	43.03	-180.65	107.12	139.26	
80.10	1.148	-525.93	1036.1	-476.65	1152.7	-268.97	-413.95	-399.66	971.20	1162.5	-176.50	-12.22	43.00	-180.64	107.12	139.26	
80.20	1.149	-525.91	1036.1	-476.60	1152.8	-268.94	-413.95	-399.58	971.21	1162.5	-176.56	-12.21	43.01	-180.63	107.12	139.26	
80.30	1.149	-525.94	1036.1	-476.60	1152.8	-268.89	-414.03	-399.62	971.16	1162.5	-176.62	-12.22	43.01	-180.63	107.13	139.25	
80.40	1.148	-525.95	1036.1	-476.61	1152.7	-268.82	-414.05	-399.64	971.07	1162.6	-176.57	-12.20	42.99	-180.63	107.12	139.25	
80.50	1.150	-525.94	1036.0	-476.65	1152.8	-268.81	-414.04	-399.62	971.05	1162.5	-176.47	-12.15	43.01	-180.63	107.13	139.26	
80.60	1.150	-525.96	1036.0	-476.66	1152.8	-268.86	-414.05	-399.61	971.08	1162.5	-176.44	-12.11	43.00	-180.66	107.15	139.27	
